,타자명,타수,득점,안타,타점,홈런,볼넷,삼진,타율,연도,월,일,소속팀,상대팀,경기장,matchid
0,손아섭,4,1,2,0,0,1,1,0.335,2017,06,25,두산,롯데,원정,20170625LTOB02017
1,김문호,5,0,2,0,0,0,1,0.311,2017,06,25,두산,롯데,원정,20170625LTOB02017
2,전준우,5,1,2,3,1,0,0,0.348,2017,06,25,두산,롯데,원정,20170625LTOB02017
3,손승락,0,0,0,0,0,0,0,0.000,2017,06,25,두산,롯데,원정,20170625LTOB02017
4,이대호,4,0,1,0,0,0,0,0.355,2017,06,25,두산,롯데,원정,20170625LTOB02017
5,강민호,4,1,2,1,1,0,0,0.302,2017,06,25,두산,롯데,원정,20170625LTOB02017
6,김상호,3,0,0,0,0,0,2,0.238,2017,06,25,두산,롯데,원정,20170625LTOB02017
7,이우민,1,0,0,0,0,0,0,0.270,2017,06,25,두산,롯데,원정,20170625LTOB02017
8,황진수,2,0,0,0,0,0,0,0.282,2017,06,25,두산,롯데,원정,20170625LTOB02017
9,김대륙,1,0,0,0,0,0,0,0.167,2017,06,25,두산,롯데,원정,20170625LTOB02017
10,신본기,4,0,1,0,0,0,2,0.194,2017,06,25,두산,롯데,원정,20170625LTOB02017
11,문규현,4,1,1,0,0,0,0,0.276,2017,06,25,두산,롯데,원정,20170625LTOB02017
12,정근우,4,2,2,1,1,0,1,0.314,2017,06,27,한화,KT,홈,20170627KTHH02017
13,하주석,3,1,2,0,0,0,1,0.302,2017,06,27,한화,KT,홈,20170627KTHH02017
14,김태균,3,1,3,1,0,1,0,0.360,2017,06,27,한화,KT,홈,20170627KTHH02017
15,로사리오,4,0,1,0,0,0,0,0.309,2017,06,27,한화,KT,홈,20170627KTHH02017
16,최진행,3,0,0,0,0,1,2,0.235,2017,06,27,한화,KT,홈,20170627KTHH02017
17,양성우,0,0,0,0,0,0,0,0.304,2017,06,27,한화,KT,홈,20170627KTHH02017
18,이성열,4,0,0,0,0,0,2,0.340,2017,06,27,한화,KT,홈,20170627KTHH02017
19,최재훈,4,0,1,0,0,0,0,0.308,2017,06,27,한화,KT,홈,20170627KTHH02017
20,김태연,2,0,0,0,0,0,2,0.071,2017,06,27,한화,KT,홈,20170627KTHH02017
21,오선진,2,0,0,0,0,0,1,0.077,2017,06,27,한화,KT,홈,20170627KTHH02017
