,연도,선수,팀,구종,투심_구사%,투심_구속,투심_상하_무브먼트,투심_좌우_무브먼트,투심_분당_회전수,투심_좌우_릴리스포인트,투심_상하_릴리스포인트,투심_타구_속도,투심_상하_각도,투심_피안타율,투심_피장타율,투심_땅볼%,투심_라인드라이브%,투심_뜬공%,투심_팝플라이%,투심_강한_타구%
36,2022,정우영,LG,투심,91.9,150.8,-2.1,-27.1,2178.4,-82.5,130.4,140.5,10.7,0.224,0.307,44.3,35.4,15.2,5.1,45.6
37,2022,이강준,롯데,투심,76.1,144.7,-0.3,-25.0,1978.9,-81.4,122.8,131.0,7.4,0.154,0.154,36.4,54.5,9.1,0.0,18.2
38,2022,고영창,KIA,투심,70.9,133.9,8.5,-20.5,1585.0,-56.4,175.4,134.4,13.8,0.277,0.415,43.8,25.0,22.9,8.3,20.8
39,2022,박종훈,SSG,투심,69.2,130.0,-19.8,-9.5,1556.6,-42.0,50.3,139.7,10.4,0.298,0.413,38.6,42.9,17.1,1.4,27.1
40,2022,박준표,KIA,투심,64.5,139.2,2.7,-23.5,1758.2,-43.8,138.4,136.0,18.2,0.319,0.532,24.2,39.4,24.2,12.1,30.3
41,2022,이재익,삼성,투심,63.9,138.3,19.1,21.4,2113.1,44.0,176.7,138.8,14.9,0.306,0.435,38.3,36.2,14.9,10.6,27.7
42,2022,송은범,LG,투심,54.3,140.9,16.9,-20.2,1987.2,-43.3,178.4,139.0,9.4,0.317,0.45,45.0,37.5,17.5,0.0,25.0
43,2022,김태훈,키움,투심,53.2,143.3,24.1,-14.8,2174.2,-23.6,176.8,130.9,16.5,0.3,0.463,37.3,33.3,19.6,9.8,27.5
44,2022,요키시,키움,투심,52.8,142.6,23.4,27.1,2679.9,65.3,173.3,137.9,13.8,0.267,0.351,39.9,31.8,20.2,8.1,30.0
45,2022,이인복,롯데,투심,49.7,140.4,15.2,-23.0,2056.8,-28.2,181.6,138.9,11.0,0.341,0.446,44.6,36.6,11.3,7.5,32.3
46,2022,윤정현,키움,투심,48.8,134.2,20.5,26.1,2348.9,74.1,179.1,146.0,6.9,0.333,0.533,59.4,28.1,9.4,3.1,46.9
47,2022,노바,SSG,투심,45.7,145.5,18.3,-26.3,2477.8,-61.4,189.9,141.8,11.2,0.356,0.424,46.5,29.1,19.8,4.7,31.4
48,2022,양현,키움,투심,45.3,127.0,-6.3,-20.1,1422.1,-95.9,104.7,138.3,12.0,0.313,0.4,42.9,35.7,17.9,3.6,19.6
49,2022,이형범,두산,투심,43.9,139.4,14.4,-21.0,1935.7,-29.5,164.2,132.6,15.1,0.23,0.311,44.2,30.2,9.3,16.3,20.9
