,연도,선수,팀,구종,커브_구사%,커브_구속,커브_상하_무브먼트,커브_좌우_무브먼트,커브_분당_회전수,커브_좌우_릴리스포인트,커브_상하_릴리스포인트,커브_타구_속도,커브_상하_각도,커브_피안타율,커브_피장타율,커브_땅볼%,커브_라인드라이브%,커브_뜬공%,커브_팝플라이%,커브_강한_타구%
148,2021,데스파이네,KT,커브,22.0,123.9,-10.6,22.7,1701.2,-45.9,175.4,127.2,12.2,0.204,0.258,43.9,34.7,13.3,8.2,8.2
149,2021,박세웅,롯데,커브,19.6,119.5,-29.0,7.9,1881.0,-17.7,181.6,137.5,6.6,0.139,0.194,54.3,32.6,13.0,0.0,19.6
150,2021,브리검,키움,커브,18.6,122.2,-5.5,17.6,1225.5,-63.2,187.0,120.2,30.6,0.128,0.205,21.1,15.8,31.6,31.6,5.3
151,2021,안우진,키움,커브,18.0,127.1,-6.0,16.3,1224.0,-36.6,180.8,127.1,21.4,0.14,0.18,32.0,28.0,20.0,20.0,8.0
152,2021,임찬규,LG,커브,17.6,112.2,-17.9,16.5,1452.5,-23.5,179.9,124.0,17.5,0.197,0.328,40.5,21.6,24.3,13.5,10.8
153,2021,심창민,삼성,커브,17.6,118.0,-0.1,24.2,1524.7,-78.3,123.5,121.3,25.9,0.067,0.167,31.6,5.3,36.8,26.3,5.3
154,2021,이승진,두산,커브,17.5,123.0,-22.4,10.5,1606.0,-43.1,200.7,128.5,10.4,0.176,0.206,50.0,20.0,25.0,5.0,10.0
155,2021,쿠에바스,KT,커브,17.3,127.9,7.4,22.5,1665.1,-55.2,175.2,121.1,28.0,0.118,0.143,15.9,31.8,22.7,29.5,2.3
156,2021,킹험,한화,커브,17.0,124.4,-13.3,19.7,1581.8,-60.9,189.6,131.4,18.2,0.143,0.242,27.5,37.5,20.0,15.0,12.5
157,2021,장시환,한화,커브,16.7,118.0,-23.5,17.6,1803.9,-42.4,187.1,136.7,8.1,0.391,0.478,43.8,40.6,15.6,0.0,12.5
158,2021,최민준,SSG,커브,16.0,121.4,-20.5,13.2,1551.0,-14.2,186.4,140.0,13.5,0.25,0.375,34.4,34.4,25.0,6.3,21.9
159,2021,이정용,LG,커브,15.8,121.6,-11.4,7.5,926.0,-32.7,186.2,128.4,13.1,0.25,0.35,36.8,36.8,26.3,0.0,10.5
160,2021,폰트,SSG,커브,15.7,117.1,-17.7,15.8,1453.2,-71.1,209.1,123.8,8.0,0.16,0.208,51.9,25.0,19.2,3.8,7.7
161,2021,최영환,롯데,커브,15.1,113.4,-23.9,3.9,1467.5,-41.5,199.0,124.2,8.4,0.188,0.25,53.8,23.1,23.1,0.0,0.0
162,2021,이민우,KIA,커브,15.0,120.7,-9.0,9.6,879.7,-59.4,192.7,129.8,14.3,0.364,0.636,35.7,42.9,14.3,7.1,14.3
163,2021,이승현,삼성,커브,14.9,119.9,-26.7,-6.0,1706.4,51.3,201.7,141.8,3.4,0.143,0.143,62.5,37.5,0.0,0.0,25.0
164,2021,진해수,LG,커브,14.8,117.0,-13.4,-13.8,1209.4,53.5,195.8,123.3,13.3,0.231,0.231,35.7,35.7,28.6,0.0,14.3
165,2021,김유신,KIA,커브,14.7,110.5,-16.9,-6.3,1075.7,49.0,186.5,131.9,19.0,0.55,0.65,22.2,55.6,11.1,11.1,33.3
166,2021,뷰캐넌,삼성,커브,14.7,119.9,-23.3,9.9,1589.7,-61.1,196.4,134.5,6.3,0.221,0.291,55.3,31.9,8.5,4.3,17.0
167,2021,루친스키,NC,커브,14.0,130.6,-5.4,2.1,536.2,-69.3,178.7,129.8,16.7,0.196,0.33,31.9,38.3,21.3,8.5,12.8
168,2021,김민우,한화,커브,13.8,112.2,-14.4,14.7,1246.3,-28.7,198.6,130.0,15.0,0.278,0.431,42.2,26.7,22.2,8.9,17.8
169,2021,김윤식,LG,커브,13.7,115.4,-17.9,-8.0,1212.8,38.2,191.5,126.2,14.7,0.308,0.346,26.7,53.3,13.3,6.7,0.0
170,2021,김동혁,키움,커브,13.6,108.1,-4.2,7.8,595.1,-95.2,115.2,137.7,22.4,0.118,0.176,11.1,44.4,33.3,11.1,33.3
171,2021,가빌리오,SSG,커브,13.4,125.0,-5.1,12.1,903.1,-23.6,184.6,132.8,8.1,0.341,0.5,50.0,30.8,19.2,0.0,19.2
172,2021,고우석,LG,커브,13.0,133.2,-17.1,13.7,1563.6,-57.3,164.3,125.0,12.6,0.192,0.269,50.0,12.5,25.0,12.5,12.5
173,2021,고영표,KT,커브,12.9,113.8,0.7,27.1,1667.3,-82.4,107.7,123.8,25.0,0.19,0.25,23.9,25.4,28.4,22.4,4.5
174,2021,멩덴,KIA,커브,12.5,113.9,-23.9,19.4,1800.6,-48.1,188.2,123.8,20.0,0.153,0.237,39.1,17.4,21.7,21.7,0.0
175,2021,몽고메리,삼성,커브,12.2,124.4,-6.2,-0.9,573.7,74.2,197.7,137.7,12.6,0.148,0.296,54.5,0.0,45.5,0.0,18.2
176,2021,박종기,두산,커브,11.9,111.1,-25.2,15.7,1729.3,-57.9,184.2,125.3,14.6,0.217,0.391,22.2,44.4,11.1,22.2,11.1
177,2021,김원중,롯데,커브,11.7,117.8,-19.3,14.8,1499.4,-53.5,194.1,124.3,17.1,0.125,0.125,14.3,57.1,28.6,0.0,0.0
178,2021,유희관,두산,커브,11.5,101.4,-20.0,-6.2,1125.0,28.9,178.5,130.1,20.0,0.292,0.333,30.4,30.4,26.1,13.0,4.3
179,2021,윤대경,한화,커브,10.4,111.1,-21.5,15.2,1529.7,-49.4,192.6,129.4,11.0,0.125,0.125,44.4,16.7,33.3,5.6,0.0
180,2021,파슨스,NC,커브,10.4,130.5,-17.9,13.0,1533.1,-58.3,180.1,133.8,13.7,0.208,0.208,47.1,29.4,11.8,11.8,17.6
181,2021,로켓,두산,커브,10.2,125.2,-9.5,16.1,1269.1,-50.8,186.3,120.1,22.6,0.206,0.294,18.8,43.8,18.8,18.8,6.3
182,2021,수아레즈,LG,커브,9.7,124.2,-7.3,-10.7,922.0,48.8,199.6,125.8,13.5,0.125,0.156,47.1,17.6,35.3,0.0,5.9
183,2021,김상수,SSG,커브,9.6,120.2,-15.1,10.3,1170.3,-40.4,184.8,141.8,1.9,0.333,0.389,57.1,35.7,7.1,0.0,35.7
184,2021,이민호,LG,커브,9.6,118.0,-11.6,10.6,1007.5,-74.3,178.8,139.6,16.1,0.333,0.741,33.3,33.3,23.8,9.5,28.6
185,2021,카펜터,한화,커브,8.3,120.6,-21.7,-4.7,1398.2,63.0,209.7,128.3,6.2,0.156,0.195,53.3,30.0,13.3,3.3,10.0
186,2021,최원태,키움,커브,8.2,119.5,-19.3,11.7,1423.0,-41.8,173.4,137.8,7.1,0.152,0.333,61.5,23.1,7.7,7.7,30.8
187,2021,송명기,NC,커브,8.2,121.3,1.7,4.5,469.0,-88.0,158.0,128.8,25.7,0.191,0.255,21.2,30.3,30.3,18.2,9.1
188,2021,곽빈,두산,커브,7.3,114.4,-21.5,16.8,1646.6,-48.7,187.9,121.1,23.1,0.107,0.143,10.0,70.0,0.0,20.0,10.0
189,2021,소형준,KT,커브,6.8,120.3,-12.0,22.3,1639.1,-40.8,175.2,133.0,16.6,0.263,0.316,30.0,46.7,10.0,13.3,26.7
190,2021,최채흥,삼성,커브,6.7,108.5,-10.5,-0.9,676.0,64.3,195.6,128.3,19.0,0.333,0.458,19.0,57.1,19.0,4.8,9.5
191,2021,이태양,SSG,커브,6.5,113.9,-14.8,7.7,1024.6,-21.7,199.9,125.8,20.1,0.154,0.231,18.2,36.4,36.4,9.1,0.0
192,2021,원태인,삼성,커브,6.0,115.6,-6.0,3.9,597.3,-33.3,182.6,132.3,20.2,0.303,0.515,41.4,24.1,13.8,20.7,13.8
193,2021,백정현,삼성,커브,6.0,114.3,-3.8,-3.6,575.7,53.5,182.0,134.4,18.1,0.387,0.871,26.9,34.6,34.6,3.8,34.6
194,2021,스트레일리,롯데,커브,5.9,122.2,-18.1,15.3,1545.5,-72.3,190.6,134.7,12.5,0.167,0.367,42.9,28.6,21.4,7.1,28.6
195,2021,신민혁,NC,커브,5.1,112.5,-18.7,13.3,1379.3,-40.1,182.4,135.5,21.5,0.412,0.765,9.1,45.5,36.4,9.1,27.3
