,연도,선수,팀,구종,직구_구사%,직구_구속,직구_상하_무브먼트,직구_좌우_무브먼트,직구_분당_회전수,직구_좌우_릴리스포인트,직구_상하_릴리스포인트,직구_타구_속도,직구_상하_각도,직구_피안타율,직구_피장타율,직구_땅볼%,직구_라인드라이브%,직구_뜬공%,직구_팝플라이%,직구_강한_타구%
36,2023,양창섭,삼성,직구,58.7,142.7,28.1,-16.5,2466.6,-39.0,177.3,141.5,28.2,0.328,0.612,13.5,44.2,15.4,26.9,32.7
37,2023,백승현,LG,직구,58.6,145.8,28.5,-12.5,2402.3,-17.5,172.8,133.5,23.2,0.21,0.272,25.0,30.8,23.1,21.2,28.8
38,2023,주승우,키움,직구,58.4,143.1,28.3,-10.3,2279.1,-16.5,174.2,138.0,24.3,0.341,0.537,24.1,37.9,13.8,24.1,27.6
39,2023,이건욱,SSG,직구,58.0,144.0,30.7,-14.2,2567.5,-15.6,176.7,136.7,24.3,0.256,0.346,22.8,36.8,19.3,21.1,22.8
40,2023,최이준,롯데,직구,57.7,145.4,29.0,-15.7,2541.1,-30.7,167.2,140.3,20.7,0.368,0.592,25.5,41.8,18.2,14.5,32.7
41,2023,오상원,키움,직구,57.7,140.4,30.2,-12.1,2386.0,-23.7,176.4,138.3,25.3,0.275,0.375,20.0,45.7,5.7,28.6,28.6
42,2023,고우석,LG,직구,57.7,151.6,25.5,-14.4,2360.2,-60.4,162.1,137.6,21.9,0.205,0.329,27.3,38.6,11.4,22.7,25.0
43,2023,박명근,LG,직구,57.0,144.7,17.9,-28.2,2541.0,-73.3,133.6,131.5,32.0,0.253,0.424,22.7,18.7,25.3,33.3,25.3
44,2023,김재열,KIA,직구,56.8,143.5,29.7,-7.9,2342.3,-29.2,186.6,135.4,25.0,0.406,0.688,12.5,45.8,20.8,20.8,20.8
45,2023,이채호,KT,직구,56.7,134.4,-1.6,-21.9,1571.2,-62.1,91.7,136.8,20.3,0.328,0.574,20.0,42.2,31.1,6.7,31.1
46,2023,유영찬,LG,직구,56.5,146.7,26.5,-15.2,2392.1,-34.8,177.4,137.3,23.6,0.281,0.452,28.9,28.9,20.7,21.5,24.0
47,2023,허윤동,삼성,직구,56.1,136.1,27.4,13.6,2197.4,37.9,174.3,140.8,19.3,0.407,0.519,22.7,45.5,13.6,18.2,31.8
48,2023,홍건희,두산,직구,55.9,145.3,26.2,-5.6,2077.7,-51.5,180.6,131.7,26.0,0.301,0.471,21.1,36.8,22.1,20.0,23.2
49,2023,송영진,SSG,직구,55.5,144.4,20.4,-7.2,1727.2,-37.7,180.0,136.5,18.2,0.265,0.343,35.7,32.1,16.1,16.1,28.6
50,2023,원종현,키움,직구,55.5,144.0,23.1,-8.0,1882.0,-47.3,149.6,125.4,29.6,0.209,0.349,20.0,23.3,26.7,30.0,6.7
51,2023,이준호,NC,직구,54.9,142.0,27.8,-4.4,2111.8,-42.6,177.6,135.1,21.6,0.247,0.356,24.5,35.8,18.9,20.8,34.0
52,2023,박상원,한화,직구,54.8,147.2,27.2,-7.6,2212.3,-53.8,177.1,129.2,23.3,0.305,0.414,24.7,36.6,17.2,21.5,18.3
53,2023,이상영,LG,직구,54.8,139.7,21.7,23.3,2348.4,74.9,177.2,143.1,22.4,0.35,0.45,18.2,45.5,18.2,18.2,36.4
54,2023,정우람,한화,직구,54.6,133.2,28.5,27.1,2723.7,61.2,169.9,129.7,25.9,0.208,0.302,19.7,41.0,13.1,26.2,14.8
55,2023,최준용,롯데,직구,54.6,145.1,25.7,-15.6,2314.3,-75.3,164.4,133.8,20.8,0.258,0.333,23.9,44.8,14.9,16.4,28.4
56,2023,류진욱,NC,직구,54.6,147.2,24.4,-15.9,2256.6,-47.2,168.9,132.4,22.9,0.198,0.257,30.6,19.4,30.6,19.4,25.8
57,2023,이상동,KT,직구,54.5,143.1,29.3,-14.8,2504.2,-48.4,174.6,138.5,24.2,0.349,0.506,25.4,31.7,22.2,20.6,28.6
58,2023,함덕주,LG,직구,54.5,139.4,28.2,13.9,2332.4,54.8,175.6,130.1,24.6,0.214,0.327,23.0,34.4,21.3,21.3,18.0
59,2023,문동주,한화,직구,54.4,151.0,28.1,-11.6,2436.3,-32.9,185.1,133.2,21.5,0.258,0.367,29.3,36.0,15.9,18.9,20.7
60,2023,양현종,KIA,직구,54.0,141.8,29.8,11.1,2340.7,55.5,179.5,134.7,23.3,0.311,0.45,24.4,32.6,21.9,21.1,21.5
61,2023,주현상,한화,직구,53.7,144.1,30.7,-7.9,2422.6,-49.0,174.9,134.4,28.2,0.184,0.289,19.3,30.1,28.9,21.7,16.9
62,2023,이로운,SSG,직구,53.6,147.4,27.6,-9.7,2314.6,-8.2,172.2,135.2,17.7,0.333,0.496,26.7,41.9,18.6,12.8,23.3
63,2023,김태현,NC,직구,53.4,144.8,25.3,19.4,2418.0,53.2,183.9,129.1,26.3,0.265,0.529,20.0,36.0,16.0,28.0,12.0
64,2023,최원준,두산,직구,52.8,137.2,9.1,-29.3,2221.2,-86.1,110.4,137.7,24.2,0.308,0.491,19.8,36.5,25.1,18.6,38.3
65,2023,김진성,LG,직구,52.8,141.8,30.7,-15.2,2560.7,-0.4,192.0,136.1,30.1,0.198,0.422,13.3,35.6,27.8,23.3,26.7
66,2023,한현희,롯데,직구,52.2,142.8,11.7,-30.7,2471.1,-90.2,138.9,134.0,24.0,0.325,0.509,24.2,30.3,28.5,17.0,23.6
67,2023,김강률,두산,직구,52.0,144.5,27.4,-7.2,2193.2,-19.4,179.4,131.8,22.6,0.373,0.49,15.6,46.9,21.9,15.6,18.8
68,2023,남지민,한화,직구,51.8,145.3,29.9,-1.3,2282.6,-31.5,187.1,132.7,21.8,0.323,0.419,23.7,40.8,15.8,19.7,9.2
69,2023,김윤식,LG,직구,51.6,139.6,25.2,17.6,2273.0,40.7,174.5,136.6,19.3,0.292,0.382,29.4,40.2,14.7,15.7,36.3
70,2023,이승현,삼성,직구,51.3,141.1,31.7,-13.0,2554.7,-24.2,184.8,137.2,27.0,0.25,0.363,17.4,30.2,33.7,18.6,24.4
