,year,구단명,등록명,성명,포지션,국적,비고
374,2023,롯데,렉스,잭 렉스,외야수,USA,2번째 시즌 시즌 중 방출
375,2023,롯데,구드럼,니코 구드럼,내야수,USA,↖대체 영입
376,2023,두산,딜런,딜런 파일,투수,USA,신규 영입 시즌 중 방출
377,2023,두산,브랜든,브랜든 와델,투수,USA,"↖대체 영입, 2번째 시즌"
378,2023,두산,알칸타라,라울 알칸타라,투수,DOM,3번째 시즌
379,2023,두산,로하스,호세 로하스,내야수/외야수,USA,신규 영입
380,2023,한화,페냐,펠릭스 페냐,투수,DOM,2번째 시즌
381,2023,한화,스미스,버치 스미스,투수,USA,신규 영입 시즌 중 방출
382,2023,한화,산체스,리카르도 산체스,투수,VEN,↖대체 영입
383,2023,한화,오그레디,브라이언 오그레디,외야수,USA,신규 영입 시즌 중 방출
384,2023,한화,윌리엄스,닉 윌리엄스,외야수,USA,↖대체 영입
385,2024,LG,켈리,케이시 켈리,투수,USA,6번째 시즌
386,2024,LG,unknown,디트릭 엔스,투수,USA,신규 영입
387,2024,LG,오스틴,오스틴 딘,내야수,USA,2번째 시즌
388,2024,KT,쿠에바스,윌리엄 쿠에바스,투수,VEN,6번째 시즌
389,2024,KT,벤자민,웨스 벤자민,투수,USA,3번째 시즌
390,2024,KT,로하스,멜 로하스 주니어,외야수,USA,5번째 시즌
391,2024,SSG,unknown,로버트 더거,투수,USA,신규 영입
392,2024,SSG,엘리아스,로에니스 엘리아스,투수,CUB,2번째 시즌
393,2024,SSG,에레디아,기예르모 에레디아,외야수,USA CUB,2번째 시즌
394,2024,NC,unknown,다니엘 카스타노,투수,USA,신규 영입
395,2024,NC,unknown,카일 하트,투수,USA,신규 영입
396,2024,NC,unknown,맷 데이비슨,내야수,USA,신규 영입
397,2024,두산,알칸타라,라울 알칸타라,투수,DOM,4번째 시즌
398,2024,두산,브랜든,브랜든 와델,투수,USA,3번째 시즌
399,2024,두산,unknown,헨리 라모스,외야수,PUR,2번째 시즌
400,2024,KIA,unknown,윌 크로우,투수,USA,신규 영입
401,2024,KIA,unknown,제임스 네일,투수,USA,신규 영입
402,2024,KIA,소크라테스,소크라테스 브리토,외야수,DOM,3번째 시즌
403,2024,롯데,윌커슨,애런 윌커슨,투수,USA,2번째 시즌
404,2024,롯데,반즈,찰리 반즈,투수,USA,3번째 시즌
405,2024,롯데,unknown,빅터 레이예스,외야수,VEN,신규 영입
406,2024,삼성,unknown,코너 시볼드,투수,USA,신규 영입
407,2024,삼성,unknown,데니 레이예스,투수,DOM,신규 영입
408,2024,삼성,unknown,데이비드 맥키넌,내야수,USA,신규 영입
409,2024,한화,페냐,펠릭스 페냐,투수,DOM,3번째 시즌
410,2024,한화,산체스,리카르도 산체스,투수,VEN,2번째 시즌
411,2024,한화,unknown,요나단 페라자,외야수,VEN,신규 영입
412,2024,키움,unknown,엔마누엘 데 헤이수스,투수,VEN,신규 영입
413,2024,키움,후라도,아리엘 후라도,투수,PAN,2번째 시즌
414,2024,키움,도슨,로니 도슨,외야수,USA,2번째 시즌
