연도,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문,타자_타율,타자_타석,타자_타수,타자_득점,타자_안타,타자_2루타,타자_3루타,타자_홈런,타자_루타,타자_타점,타자_희생번트,타자_희생플라이,타자_볼넷,타자_고의4구,타자_사구,타자_삼진,타자_병살타,타자_장타율,타자_출루율,타자_출루율+장타율(OPS),타자_멀티히트,타자_득점권타율,타자_대타타율,투수_평균자책점,투수_승리,투수_패배,투수_세이브,투수_홀드,투수_승률,투수_이닝,투수_피안타,투수_피홈런,투수_볼넷,투수_사구,투수_삼진,투수_실점,투수_자책점,투수_이닝당 출루허용률,투수_완투,투수_완봉,투수_퀄리티스타트,투수_블론세이브,투수_타자수,투수_투구수,투수_피안타율,투수_피2루타,투수_피3루타,투수_희생번트,투수_희생플라이,투수_고의4구,투수_폭투,투수_보크,수비_실책,수비_견제사,수비_풋아웃,수비_어시스트,수비_병살,수비_수비율,수비_포일,수비_도루허용,수비_도루실패,수비_도루저지율,주루_도루시도,주루_도루성공,주루_도루실패,주루_도루성공률,주루_주루사,주루_견제사
2022,1,SSG,144,88,52,4,0.629,0.0,4승0무6패,4패,49-0-23,39-4-29,0.254,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,143,0.272,0.228,3.87,88,52,45,68,0.629,1301 1/3,1223,130,457,65,1023,622,560,1.29,1,10,78,23,5533,21355,0.248,174,17,53,33,18,75,2,109,9,3904,1455,138,0.98,4,107,31,22.5,137,98,39,71.5,42,4
2022,2,키움,144,80,62,2,0.563,9.0,5승0무5패,1승,39-1-32,41-1-30,0.252,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,143,0.243,0.182,3.79,80,62,48,84,0.563,1296 1/3,1247,96,490,70,1010,610,546,1.34,2,19,71,18,5579,21568,0.254,259,15,66,42,18,51,1,118,3,3889,1549,134,0.979,7,85,42,33.1,83,63,20,75.9,42,8
2022,3,LG,144,87,55,2,0.613,2.0,4승0무6패,1승,38-1-33,49-1-22,0.269,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,144,0.274,0.236,3.33,87,55,43,107,0.613,1288,1179,94,451,59,1031,521,476,1.27,0,16,59,15,5432,20918,0.245,166,34,56,46,27,49,0,89,6,3864,1394,139,0.983,7,113,26,18.7,148,102,46,68.9,46,10
2022,4,KT,144,80,62,2,0.563,9.0,7승0무3패,1패,40-1-31,40-1-31,0.254,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.33,0.705,144,0.239,0.232,3.51,80,62,37,65,0.563,1287 1/3,1243,92,364,63,1074,562,502,1.25,1,8,81,13,5405,20356,0.254,188,19,54,38,22,43,3,97,13,3862,1425,132,0.982,8,69,26,27.4,123,89,34,72.4,38,6
2022,5,KIA,144,70,73,1,0.49,19.5,7승0무3패,1패,31-0-41,39-1-32,0.272,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,144,0.273,0.219,4.2,70,73,38,74,0.49,1279 2/3,1286,120,526,67,1042,679,597,1.42,0,7,64,18,5636,21803,0.261,233,22,75,45,20,56,2,107,5,3839,1378,111,0.98,8,64,41,39.0,137,103,34,75.2,57,5
2022,6,NC,144,67,74,3,0.475,21.5,6승0무4패,1패,35-3-34,32-0-40,0.257,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,143,0.265,0.233,3.9,67,74,25,54,0.475,1286 2/3,1230,111,515,98,1168,642,557,1.36,0,11,58,15,5604,22069,0.252,218,18,60,42,10,80,5,127,4,3860,1360,115,0.976,9,60,42,41.2,139,100,39,71.9,56,7
2022,7,삼성,144,66,76,2,0.465,23.0,6승0무4패,2승,33-2-37,33-0-39,0.27,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,144,0.281,0.273,4.29,66,76,34,71,0.465,1287,1370,129,478,66,971,695,613,1.44,1,6,63,21,5678,22174,0.272,251,15,62,34,22,47,3,118,9,3861,1448,125,0.978,6,51,35,40.7,118,91,27,77.1,50,6
2022,8,롯데,144,64,76,4,0.457,24.0,5승0무5패,1승,27-3-42,37-1-34,0.267,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,144,0.259,0.268,4.45,64,76,34,69,0.457,1280 2/3,1373,84,492,80,1199,712,633,1.46,0,13,58,13,5686,21932,0.274,257,22,64,37,21,72,1,114,3,3842,1403,124,0.979,11,99,39,28.3,100,61,39,61.0,54,6
2022,9,두산,144,60,82,2,0.423,29.0,4승0무6패,2패,29-1-42,31-1-40,0.255,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,144,0.266,0.246,4.45,60,82,32,68,0.423,1279 1/3,1336,117,555,70,977,721,632,1.48,0,7,54,18,5700,22437,0.269,206,19,57,48,11,69,5,117,3,3838,1394,128,0.978,13,95,34,26.4,130,90,40,69.2,55,4
2022,10,한화,144,46,96,2,0.324,43.0,3승0무7패,1패,28-0-44,18-2-52,0.245,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,144,0.237,0.211,4.83,46,96,25,81,0.324,1268 1/3,1314,112,602,83,974,759,680,1.51,1,9,37,25,5710,22412,0.268,268,22,63,57,39,65,4,134,7,3805,1406,111,0.975,8,121,51,29.7,142,93,49,65.5,49,6
2021,1,KT,144,76,59,9,0.563,0.0,3승1무6패,1승,41-7-24,35-2-35,0.265,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.27,0.224,3.67,76,59,33,74,0.563,1264,1176,86,489,42,1062,584,515,1.32,2,6,76,16,5397,20893,0.246,184,13,46,48,18,56,1,112,7,3792,1466,133,0.979,7,93,31,25.0,158,112,46,70.9,50,6
2021,2,두산,144,71,65,8,0.522,5.5,5승2무3패,2승,35-6-31,36-2-34,0.268,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,143,0.29,0.259,4.26,71,65,28,61,0.522,1269 1/3,1295,104,587,73,1045,656,601,1.48,2,10,55,15,5631,22163,0.267,212,21,61,61,16,52,7,89,8,3808,1296,120,0.983,10,83,48,36.6,118,81,37,68.6,48,11
2021,3,삼성,144,76,59,9,0.563,0.0,6승1무3패,1승,42-4-26,34-5-33,0.267,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.265,0.213,4.3,76,59,46,80,0.563,1259,1297,131,530,51,1038,658,601,1.45,2,14,66,13,5536,21926,0.266,230,24,45,36,13,58,3,88,6,3777,1335,130,0.983,5,61,26,29.9,160,116,44,72.5,47,7
2021,4,LG,144,72,58,14,0.554,1.5,3승5무2패,1패,40-3-29,32-11-29,0.25,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,143,0.253,0.269,3.57,72,58,32,81,0.554,1272 1/3,1126,80,545,98,1068,561,505,1.31,0,18,50,14,5453,21456,0.238,197,18,45,43,18,43,5,91,4,3817,1481,147,0.983,12,98,40,29.0,126,92,34,73.0,43,15
2021,5,키움,144,70,67,7,0.511,7.0,6승1무3패,3승,42-4-26,28-3-41,0.259,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.279,0.227,4.31,70,67,30,56,0.511,1263 1/3,1281,101,566,80,900,700,605,1.46,1,7,57,16,5599,21670,0.264,223,7,55,48,27,59,4,129,14,3790,1532,152,0.976,5,85,35,29.2,123,97,26,78.9,39,3
2021,6,SSG,144,66,64,14,0.508,7.5,4승2무4패,1패,37-8-27,29-6-37,0.261,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259,4.82,66,64,25,56,0.508,1276 2/3,1296,149,629,78,1012,741,684,1.51,0,5,42,24,5706,22459,0.265,214,14,54,50,27,41,9,102,14,3830,1409,123,0.981,12,105,46,30.5,143,100,43,69.9,42,3
