,연도,선수,팀,구종,체인지업_구사%,체인지업_구속,체인지업_상하_무브먼트,체인지업_좌우_무브먼트,체인지업_분당_회전수,체인지업_좌우_릴리스포인트,체인지업_상하_릴리스포인트,체인지업_타구_속도,체인지업_상하_각도,체인지업_피안타율,체인지업_피장타율,체인지업_땅볼%,체인지업_라인드라이브%,체인지업_뜬공%,체인지업_팝플라이%,체인지업_강한_타구%
149,2021,소형준,KT,체인지업,22.6,128.5,7.7,-15.5,1223.0,-38.7,172.7,131.8,12.3,0.272,0.457,41.7,31.7,21.7,5.0,18.3
150,2021,프랑코,롯데,체인지업,22.5,132.6,13.4,-20.9,1771.8,-51.0,182.6,131.5,15.8,0.233,0.325,43.7,19.5,21.8,14.9,13.8
151,2021,주현상,한화,체인지업,22.2,127.2,15.2,-15.6,1504.7,-64.1,177.0,125.4,22.2,0.191,0.277,35.5,19.4,22.6,22.6,22.6
152,2021,킹험,한화,체인지업,22.1,132.2,13.5,-19.8,1708.9,-62.8,180.0,127.7,14.5,0.242,0.313,40.0,27.5,23.8,8.8,13.8
153,2021,이승헌,롯데,체인지업,22.0,127.0,18.3,-27.7,2229.3,-72.8,180.7,125.8,17.5,0.258,0.387,33.3,42.9,9.5,14.3,4.8
154,2021,서준원,롯데,체인지업,20.8,131.3,5.6,-25.9,1858.5,-53.1,140.1,137.8,11.2,0.405,0.595,46.2,30.8,15.4,7.7,23.1
155,2021,배민서,NC,체인지업,20.5,133.5,5.2,-25.9,1879.1,-77.7,154.4,137.3,18.0,0.375,0.458,38.5,15.4,38.5,7.7,23.1
156,2021,김유신,KIA,체인지업,20.5,124.0,18.0,21.3,1849.8,51.3,173.7,131.5,9.7,0.302,0.509,47.2,27.8,16.7,8.3,16.7
157,2021,요키시,키움,체인지업,20.4,131.4,20.0,29.8,2462.8,67.1,178.2,129.2,10.3,0.246,0.319,47.3,31.2,12.9,8.6,15.1
158,2021,임찬규,LG,체인지업,20.4,125.9,14.6,-23.8,1888.1,-30.4,165.9,128.2,23.6,0.188,0.261,26.5,26.5,20.4,26.5,10.2
159,2021,김재웅,키움,체인지업,20.0,128.6,24.4,21.0,2194.2,14.2,172.4,134.5,17.4,0.264,0.321,15.4,61.5,19.2,3.8,23.1
160,2021,이상영,LG,체인지업,19.7,128.1,15.1,28.2,2172.4,65.9,171.7,135.6,14.3,0.256,0.372,42.4,24.2,24.2,9.1,21.2
161,2021,박정수,두산,체인지업,18.4,126.3,3.1,-30.0,2019.5,-40.4,144.5,139.5,13.1,0.273,0.455,41.7,25.0,25.0,8.3,41.7
162,2021,몽고메리,삼성,체인지업,18.2,132.4,17.2,28.8,2353.4,70.7,197.0,133.7,13.3,0.2,0.4,44.0,28.0,20.0,8.0,20.0
163,2021,백정현,삼성,체인지업,17.7,129.1,25.0,16.5,2082.7,54.1,173.9,136.6,15.1,0.194,0.299,38.1,27.4,25.0,9.5,20.2
164,2021,노경은,롯데,체인지업,17.3,127.0,16.7,-20.9,1837.0,-39.4,183.2,128.4,23.1,0.25,0.455,27.6,24.1,31.0,17.2,6.9
165,2021,김윤식,LG,체인지업,17.2,121.4,19.9,14.2,1595.9,36.4,188.1,121.6,19.8,0.159,0.295,36.0,16.0,28.0,20.0,12.0
166,2021,김성민,키움,체인지업,16.7,121.3,2.2,35.4,2254.2,73.8,144.0,132.6,14.5,0.31,0.405,34.5,31.0,27.6,6.9,17.2
167,2021,카펜터,한화,체인지업,16.2,131.0,17.1,32.1,2494.0,73.8,193.8,133.3,19.2,0.316,0.453,30.4,36.2,15.9,17.4,17.4
168,2021,데스파이네,KT,체인지업,15.7,126.7,18.8,-10.6,1520.3,-36.3,173.3,129.1,22.0,0.207,0.328,27.5,35.0,17.5,20.0,13.8
169,2021,스트레일리,롯데,체인지업,15.1,136.0,7.8,-23.2,1800.7,-73.6,175.9,136.6,5.8,0.268,0.276,60.6,25.8,10.6,3.0,22.7
170,2021,이승민,삼성,체인지업,14.9,119.8,14.3,22.4,1718.3,30.2,162.5,131.4,11.1,0.4,0.667,43.5,34.8,17.4,4.3,21.7
171,2021,쿠에바스,KT,체인지업,14.9,131.1,22.6,-20.8,2152.5,-46.0,173.5,126.6,12.6,0.4,0.571,37.0,40.7,16.7,5.6,7.4
172,2021,김기중,한화,체인지업,14.8,126.7,24.2,19.3,2095.7,33.9,176.9,138.7,25.8,0.333,0.455,30.8,23.1,15.4,30.8,30.8
173,2021,최채흥,삼성,체인지업,14.8,121.3,18.3,17.3,1648.2,66.8,184.2,131.8,16.8,0.247,0.407,30.0,38.0,22.0,10.0,12.0
174,2021,오원석,SSG,체인지업,14.1,128.5,13.3,18.3,1561.7,79.0,170.6,128.4,11.0,0.194,0.254,47.4,26.3,21.1,5.3,10.5
175,2021,문승원,SSG,체인지업,13.7,129.0,21.3,-20.9,2041.4,-55.1,173.0,128.7,9.5,0.174,0.174,52.4,23.8,9.5,14.3,9.5
176,2021,수아레즈,LG,체인지업,13.6,134.7,22.8,23.3,2338.5,46.9,188.9,121.6,23.7,0.19,0.241,21.9,21.9,40.6,15.6,9.4
177,2021,이승호,키움,체인지업,13.4,127.4,25.9,24.4,2376.5,36.7,176.7,129.6,9.1,0.353,0.353,33.3,55.6,11.1,0.0,22.2
178,2021,최원준,두산,체인지업,12.4,122.7,-1.8,-25.8,1685.2,-102.9,111.7,133.8,19.1,0.253,0.387,33.9,28.6,19.6,17.9,17.9
179,2021,김범수,한화,체인지업,11.6,132.4,12.2,29.0,2189.2,44.7,167.8,136.7,14.7,0.346,0.5,30.8,46.2,15.4,7.7,15.4
180,2021,한현희,키움,체인지업,9.2,130.3,-1.0,-23.9,1687.2,-93.7,128.6,140.1,9.3,0.343,0.429,44.0,40.0,12.0,4.0,28.0
181,2021,배제성,KT,체인지업,8.3,127.4,26.2,-6.1,1896.8,-35.5,188.7,132.2,14.8,0.292,0.375,35.3,35.3,14.7,14.7,20.6
182,2021,멩덴,KIA,체인지업,8.3,131.5,20.6,-20.3,1990.5,-47.2,182.2,132.5,22.3,0.265,0.5,25.0,35.7,17.9,21.4,14.3
183,2021,켈리,LG,체인지업,8.3,132.4,17.6,-21.9,2009.8,-42.3,190.8,130.5,11.4,0.225,0.25,34.5,34.5,24.1,6.9,13.8
184,2021,최민준,SSG,체인지업,7.2,133.4,21.8,-16.2,1953.4,-11.2,176.7,138.7,12.8,0.333,0.433,26.3,52.6,10.5,10.5,26.3
185,2021,미란다,두산,체인지업,6.9,131.1,26.9,21.0,2384.9,31.8,186.6,141.2,25.5,0.294,0.412,30.8,15.4,15.4,38.5,15.4
186,2021,안우진,키움,체인지업,5.8,133.7,23.5,-20.8,2209.1,-32.4,173.3,120.2,4.0,0.103,0.103,50.0,50.0,0.0,0.0,0.0
187,2021,파슨스,NC,체인지업,4.6,136.7,12.7,-26.6,2155.8,-56.7,173.9,142.8,7.3,0.25,0.25,66.7,16.7,16.7,0.0,50.0
