,투수명,이닝,피안타,실점,자책,4사구,삼진,피홈런,타자,타수,투구수,경기,승리,패전,세이브,평균자책,연도,월,일,소속팀,상대팀,경기장,matchid
0,레일리,3,8,6,6,3,4,1,21,17,87,5.0,0.0,3.0,0.0,5.53,2018,04,22,롯데,SSG,홈,20180422SKLT02018
1,배장호,3,3,2,2,2,1,1,12,10,46,9.0,1.0,1.0,0.0,7.88,2018,04,22,롯데,SSG,홈,20180422SKLT02018
2,고효준,0 ⅔,0,2,2,2,1,0,4,2,19,5.0,0.0,0.0,0.0,6.75,2018,04,22,롯데,SSG,홈,20180422SKLT02018
3,구승민,2 ⅓,2,0,0,2,1,0,10,8,45,12.0,2.0,0.0,0.0,3.86,2018,04,22,롯데,SSG,홈,20180422SKLT02018
4,박종훈,5,6,3,3,1,4,0,21,20,79,5.0,4.0,1.0,0.0,5.54,2018,04,22,롯데,SSG,원정,20180422SKLT02018
5,윤희상,0 ⅔,3,1,1,0,0,0,5,5,19,11.0,0.0,0.0,1.0,5.79,2018,04,22,롯데,SSG,원정,20180422SKLT02018
6,신재웅,1 ⅓,0,0,0,0,1,0,4,4,13,9.0,0.0,0.0,0.0,1.13,2018,04,22,롯데,SSG,원정,20180422SKLT02018
7,정영일,1,0,0,0,0,2,0,3,3,17,11.0,1.0,0.0,0.0,2.45,2018,04,22,롯데,SSG,원정,20180422SKLT02018
8,박정배,1,0,0,0,1,2,0,4,3,20,10.0,0.0,1.0,4.0,2.7,2018,04,22,롯데,SSG,원정,20180422SKLT02018
9,윤규진,4 ⅓,10,8,8,0,2,2,23,23,82,4.0,1.0,2.0,0.0,9.0,2018,04,22,한화,키움,홈,20180422WOHH02018
10,김진욱,2 ⅔,3,2,2,3,2,0,14,11,56,2.0,0.0,0.0,0.0,4.91,2018,04,22,한화,키움,홈,20180422WOHH02018
11,박주홍,2,2,0,0,0,3,0,8,8,31,14.0,0.0,0.0,0.0,6.75,2018,04,22,한화,키움,홈,20180422WOHH02018
12,로저스,9,5,1,1,0,8,0,30,30,100,6.0,2.0,1.0,0.0,4.02,2018,04,22,한화,키움,원정,20180422WOHH02018
13,박세진,2 ⅔,6,5,4,4,3,1,18,14,82,4.0,1.0,2.0,0.0,6.62,2018,04,24,KT,롯데,홈,20180424LTKT02018
14,신병률,2 ⅓,7,8,8,1,0,3,15,14,50,6.0,0.0,0.0,0.0,7.5,2018,04,24,KT,롯데,홈,20180424LTKT02018
15,홍성용,2,3,1,1,1,3,0,10,9,48,11.0,1.0,0.0,0.0,3.95,2018,04,24,KT,롯데,홈,20180424LTKT02018
16,고창성,1,0,0,0,1,0,0,3,2,8,9.0,0.0,0.0,0.0,5.0,2018,04,24,KT,롯데,홈,20180424LTKT02018
17,류희운,1,1,0,0,0,0,0,3,3,12,8.0,1.0,1.0,0.0,5.5,2018,04,24,KT,롯데,홈,20180424LTKT02018
18,김원중,6,5,5,5,3,10,2,27,24,105,5.0,1.0,1.0,0.0,9.28,2018,04,24,KT,롯데,원정,20180424LTKT02018
19,이명우,1 ⅔,3,2,2,0,1,0,8,8,28,15.0,0.0,0.0,0.0,3.75,2018,04,24,KT,롯데,원정,20180424LTKT02018
20,고효준,1,2,1,0,3,1,0,9,6,44,6.0,0.0,0.0,0.0,5.4,2018,04,24,KT,롯데,원정,20180424LTKT02018
21,진명호,0 ⅓,0,0,0,0,1,0,1,1,6,12.0,2.0,1.0,0.0,2.03,2018,04,24,KT,롯데,원정,20180424LTKT02018
22,백정현,6 ⅓,5,2,2,1,6,0,25,24,104,4.0,1.0,2.0,0.0,5.73,2018,04,24,삼성,NC,홈,20180424NCSS02018
23,최충연,0 ⅔,0,0,0,0,0,0,1,1,5,15.0,1.0,2.0,0.0,3.24,2018,04,24,삼성,NC,홈,20180424NCSS02018
24,심창민,1,0,0,0,0,1,0,3,3,11,13.0,0.0,0.0,2.0,2.87,2018,04,24,삼성,NC,홈,20180424NCSS02018
25,장필준,1,0,0,0,0,2,0,3,3,16,8.0,0.0,0.0,3.0,0.0,2018,04,24,삼성,NC,홈,20180424NCSS02018
26,정수민,2 ⅓,5,7,7,6,2,1,19,12,83,7.0,2.0,2.0,0.0,6.41,2018,04,24,삼성,NC,원정,20180424NCSS02018
