,투수명,이닝,피안타,실점,자책,4사구,삼진,피홈런,타자,타수,투구수,경기,승리,패전,세이브,평균자책,연도,월,일,소속팀,상대팀,경기장,matchid
0,박세웅,6 ⅔,7,2,2,4,4,0,29,25,117,14.0,9.0,2.0,0.0,2.08,2017,06,25,두산,롯데,원정,20170625LTOB02017
1,윤길현,0 ⅓,1,0,0,0,0,0,2,2,10,32.0,0.0,3.0,0.0,5.13,2017,06,25,두산,롯데,원정,20170625LTOB02017
2,장시환,0 ⅔,0,0,0,1,0,0,3,2,13,30.0,2.0,4.0,0.0,4.3,2017,06,25,두산,롯데,원정,20170625LTOB02017
3,손승락,1 ⅓,0,0,0,0,0,0,4,4,11,23.0,1.0,0.0,12.0,2.74,2017,06,25,두산,롯데,원정,20170625LTOB02017
4,김재영,5,5,1,1,1,2,0,18,17,91,7.0,2.0,2.0,0.0,4.3,2017,06,27,한화,KT,홈,20170627KTHH02017
5,이충호,0 ⅔,1,0,0,0,0,0,3,3,10,1.0,0.0,0.0,0.0,0.0,2017,06,27,한화,KT,홈,20170627KTHH02017
6,이동걸,1 ⅓,1,0,0,1,2,0,6,5,20,15.0,0.0,0.0,1.0,3.12,2017,06,27,한화,KT,홈,20170627KTHH02017
7,권혁,1,0,0,0,1,1,0,4,3,12,25.0,1.0,1.0,0.0,4.5,2017,06,27,한화,KT,홈,20170627KTHH02017
8,정우람,1,0,0,0,2,2,0,5,3,23,31.0,4.0,2.0,12.0,3.06,2017,06,27,한화,KT,홈,20170627KTHH02017
9,피어밴드,6,10,4,2,2,7,1,28,25,102,14.0,7.0,6.0,0.0,2.43,2017,06,27,한화,KT,원정,20170627KTHH02017
10,강장산,2,1,0,0,0,3,0,7,7,34,13.0,0.0,0.0,0.0,3.27,2017,06,27,한화,KT,원정,20170627KTHH02017
11,송승준,3 ⅔,5,4,3,2,3,0,19,17,91,16.0,5.0,0.0,0.0,4.2,2017,06,27,롯데,LG,홈,20170627LGLT02017
12,김유영,1 ⅔,1,0,0,0,2,0,6,6,26,23.0,0.0,0.0,0.0,4.28,2017,06,27,롯데,LG,홈,20170627LGLT02017
13,박시영,1 ⅔,1,0,0,0,0,0,6,6,24,34.0,1.0,3.0,0.0,6.59,2017,06,27,롯데,LG,홈,20170627LGLT02017
14,윤길현,1,2,1,1,0,1,0,5,5,21,33.0,0.0,3.0,0.0,5.24,2017,06,27,롯데,LG,홈,20170627LGLT02017
15,장시환,0,0,0,0,1,0,0,1,0,5,31.0,2.0,4.0,0.0,4.3,2017,06,27,롯데,LG,홈,20170627LGLT02017
16,손승락,1,1,0,0,1,1,0,5,4,23,24.0,1.0,0.0,12.0,2.63,2017,06,27,롯데,LG,홈,20170627LGLT02017
17,배장호,0 ⅓,1,3,3,2,0,0,4,2,11,34.0,3.0,1.0,0.0,4.82,2017,06,27,롯데,LG,홈,20170627LGLT02017
18,노경은,0 ⅓,3,2,2,1,0,1,5,3,17,8.0,0.0,2.0,0.0,11.85,2017,06,27,롯데,LG,홈,20170627LGLT02017
19,차재용,0 ⅓,0,0,0,0,0,0,1,1,3,2.0,0.0,0.0,0.0,0.0,2017,06,27,롯데,LG,홈,20170627LGLT02017
20,강동호,2,1,0,0,3,1,0,8,5,36,21.0,2.0,0.0,0.0,4.84,2017,06,27,롯데,LG,홈,20170627LGLT02017
21,차우찬,6 ⅔,9,3,1,0,5,1,29,28,106,15.0,6.0,5.0,0.0,3.04,2017,06,27,롯데,LG,원정,20170627LGLT02017
22,김지용,0 ⅓,3,2,2,0,0,1,4,4,15,32.0,3.0,1.0,2.0,3.78,2017,06,27,롯데,LG,원정,20170627LGLT02017
23,정찬헌,1,2,0,0,1,2,0,6,5,25,30.0,2.0,4.0,5.0,4.8,2017,06,27,롯데,LG,원정,20170627LGLT02017
24,신정락,1,2,3,3,1,1,0,5,4,16,34.0,1.0,3.0,8.0,5.63,2017,06,27,롯데,LG,원정,20170627LGLT02017
25,진해수,0,2,2,2,1,0,0,3,2,13,39.0,0.0,1.0,1.0,3.13,2017,06,27,롯데,LG,원정,20170627LGLT02017
26,이동현,2 ⅓,1,1,0,3,3,0,10,6,27,13.0,1.0,1.0,1.0,1.8,2017,06,27,롯데,LG,원정,20170627LGLT02017
27,니퍼트,8,5,5,4,3,6,1,32,29,119,15.0,7.0,6.0,0.0,3.56,2017,06,27,두산,SSG,홈,20170627SKOB02017
28,조승수,0,0,0,0,2,0,0,2,0,8,1.0,0.0,0.0,0.0,0.0,2017,06,27,두산,SSG,홈,20170627SKOB02017
29,박치국,1,0,0,0,1,1,0,4,2,19,18.0,1.0,1.0,0.0,6.99,2017,06,27,두산,SSG,홈,20170627SKOB02017
30,박종훈,5,8,1,1,3,8,1,25,22,108,15.0,7.0,4.0,0.0,3.4,2017,06,27,두산,SSG,원정,20170627SKOB02017
31,박희수,1,0,0,0,0,0,0,3,3,9,25.0,2.0,2.0,5.0,4.03,2017,06,27,두산,SSG,원정,20170627SKOB02017
32,문광은,1,1,0,0,0,2,0,4,4,16,22.0,1.0,1.0,2.0,4.94,2017,06,27,두산,SSG,원정,20170627SKOB02017
33,김주한,1,0,0,0,0,0,0,3,3,12,32.0,3.0,1.0,4.0,4.63,2017,06,27,두산,SSG,원정,20170627SKOB02017
34,박정배,1,1,0,0,0,0,0,4,4,9,29.0,1.0,2.0,1.0,2.97,2017,06,27,두산,SSG,원정,20170627SKOB02017
35,양현종,6,6,3,3,1,3,1,25,23,85,15.0,10.0,3.0,0.0,3.8,2017,06,27,KIA,삼성,홈,20170627SSHT02017
36,고효준,1 ⅓,0,0,0,1,1,0,5,4,20,26.0,2.0,1.0,0.0,4.8,2017,06,27,KIA,삼성,홈,20170627SSHT02017
37,박진태,0 ⅔,0,0,0,1,0,0,3,2,13,8.0,0.0,0.0,0.0,7.79,2017,06,27,KIA,삼성,홈,20170627SSHT02017
38,김광수,1,3,1,1,0,1,0,6,6,15,14.0,1.0,0.0,0.0,10.91,2017,06,27,KIA,삼성,홈,20170627SSHT02017
39,레나도,5 ⅓,9,9,8,2,2,0,28,26,84,7.0,2.0,1.0,0.0,6.27,2017,06,27,KIA,삼성,원정,20170627SSHT02017
40,김승현,0 ⅔,2,1,1,1,1,0,5,4,22,32.0,0.0,3.0,0.0,5.75,2017,06,27,KIA,삼성,원정,20170627SSHT02017
41,이승현,1,1,0,0,0,1,0,4,4,16,21.0,2.0,0.0,0.0,4.5,2017,06,27,KIA,삼성,원정,20170627SSHT02017
42,임현준,1,2,1,0,0,0,0,6,6,27,9.0,0.0,0.0,0.0,4.66,2017,06,27,KIA,삼성,원정,20170627SSHT02017
43,해커,7,6,2,2,0,4,0,26,26,102,15.0,8.0,2.0,0.0,2.96,2017,06,27,NC,키움,홈,20170627WONC02017
44,김진성,0,1,0,0,0,0,0,1,1,5,36.0,5.0,3.0,0.0,3.35,2017,06,27,NC,키움,홈,20170627WONC02017
45,임정호,1,0,0,0,0,0,0,2,2,11,35.0,1.0,0.0,0.0,2.79,2017,06,27,NC,키움,홈,20170627WONC02017
46,임창민,1,0,0,0,1,1,0,4,3,16,33.0,1.0,0.0,21.0,2.0,2017,06,27,NC,키움,홈,20170627WONC02017
47,신재영,3 ⅔,6,6,6,3,2,2,20,16,89,14.0,5.0,5.0,0.0,4.97,2017,06,27,NC,키움,원정,20170627WONC02017
48,김성민,3 ⅓,3,0,0,1,5,0,14,13,60,16.0,0.0,0.0,0.0,4.34,2017,06,27,NC,키움,원정,20170627WONC02017
49,오주원,1,2,1,1,0,2,1,5,5,14,27.0,2.0,5.0,0.0,5.36,2017,06,27,NC,키움,원정,20170627WONC02017
50,배영수,5,7,4,4,1,4,2,23,22,97,14.0,6.0,3.0,0.0,5.92,2017,06,28,한화,KT,홈,20170628KTHH02017
51,장민재,2,0,0,0,2,1,0,8,6,38,22.0,2.0,4.0,0.0,6.66,2017,06,28,한화,KT,홈,20170628KTHH02017
52,송창식,1 ⅓,2,0,0,0,0,0,5,5,18,41.0,4.0,2.0,0.0,5.51,2017,06,28,한화,KT,홈,20170628KTHH02017
53,권혁,1 ⅔,1,1,0,0,2,0,7,7,33,26.0,1.0,2.0,0.0,4.15,2017,06,28,한화,KT,홈,20170628KTHH02017
