,투수명,이닝,피안타,실점,자책,4사구,삼진,피홈런,타자,타수,투구수,경기,승리,패전,세이브,평균자책,연도,월,일,소속팀,상대팀,경기장,matchid
0,린드블럼,5 ⅔,9,2,2,3,5,0,27,24,93,1.0,0.0,0.0,0.0,3.18,2019,03,23,두산,한화,홈,20190323HHOB02019
1,김승회,0 ⅔,0,0,0,1,0,0,3,2,17,1.0,0.0,0.0,0.0,0.0,2019,03,23,두산,한화,홈,20190323HHOB02019
2,윤명준,0 ⅔,1,1,1,0,0,0,2,2,8,1.0,0.0,0.0,0.0,13.5,2019,03,23,두산,한화,홈,20190323HHOB02019
3,이현승,0 ⅔,0,0,0,0,0,0,2,1,5,1.0,0.0,0.0,0.0,0.0,2019,03,23,두산,한화,홈,20190323HHOB02019
4,박치국,0 ⅔,1,1,1,1,2,0,4,3,13,1.0,1.0,0.0,0.0,13.5,2019,03,23,두산,한화,홈,20190323HHOB02019
5,함덕주,0 ⅔,1,0,0,1,0,0,4,2,15,1.0,0.0,0.0,1.0,0.0,2019,03,23,두산,한화,홈,20190323HHOB02019
6,서폴드,5 ⅔,5,3,3,3,1,1,24,21,104,1.0,0.0,0.0,0.0,4.76,2019,03,23,두산,한화,원정,20190323HHOB02019
7,박상원,1 ⅓,0,0,0,0,2,0,4,4,11,1.0,0.0,0.0,0.0,0.0,2019,03,23,두산,한화,원정,20190323HHOB02019
8,송은범,0 ⅔,0,0,0,0,0,0,2,2,11,1.0,0.0,0.0,0.0,0.0,2019,03,23,두산,한화,원정,20190323HHOB02019
9,김범수,0,0,2,2,2,0,0,2,0,8,1.0,0.0,1.0,0.0,0.0,2019,03,23,두산,한화,원정,20190323HHOB02019
10,이태양,0 ⅓,1,0,0,0,0,0,1,1,4,1.0,0.0,0.0,0.0,0.0,2019,03,23,두산,한화,원정,20190323HHOB02019
11,김광현,6,8,4,4,3,7,1,29,26,110,1.0,0.0,0.0,0.0,6.0,2019,03,23,SK,KT,홈,20190323KTSK02019
12,하재훈,1,0,0,0,0,1,0,3,3,15,1.0,1.0,0.0,0.0,0.0,2019,03,23,SK,KT,홈,20190323KTSK02019
13,김택형,1,0,0,0,0,2,0,3,3,14,1.0,0.0,0.0,0.0,0.0,2019,03,23,SK,KT,홈,20190323KTSK02019
14,김태훈,1,1,0,0,0,0,0,4,4,14,1.0,0.0,0.0,1.0,0.0,2019,03,23,SK,KT,홈,20190323KTSK02019
15,쿠에바스,5 ⅔,7,4,4,2,3,1,26,24,84,1.0,0.0,0.0,0.0,6.35,2019,03,23,SK,KT,원정,20190323KTSK02019
16,정성곤,1,0,1,1,1,2,0,4,3,20,1.0,0.0,1.0,0.0,9.0,2019,03,23,SK,KT,원정,20190323KTSK02019
17,엄상백,0 ⅓,1,1,1,1,0,1,3,2,18,1.0,0.0,0.0,0.0,27.0,2019,03,23,SK,KT,원정,20190323KTSK02019
18,최건,1,0,1,0,2,0,0,4,2,18,1.0,0.0,0.0,0.0,0.0,2019,03,23,SK,KT,원정,20190323KTSK02019
19,양현종,6,5,1,1,1,8,0,22,21,91,1.0,0.0,1.0,0.0,1.5,2019,03,23,KIA,LG,홈,20190323LGHT02019
20,고영창,0 ⅓,1,0,0,1,0,0,2,1,13,1.0,0.0,0.0,0.0,0.0,2019,03,23,KIA,LG,홈,20190323LGHT02019
21,이준영,0 ⅔,0,0,0,0,0,0,1,1,4,1.0,0.0,0.0,0.0,0.0,2019,03,23,KIA,LG,홈,20190323LGHT02019
22,문경찬,0 ⅓,1,1,1,1,1,0,3,2,9,1.0,0.0,0.0,0.0,27.0,2019,03,23,KIA,LG,홈,20190323LGHT02019
23,하준영,1 ⅓,1,0,0,0,3,0,5,5,23,1.0,0.0,0.0,0.0,0.0,2019,03,23,KIA,LG,홈,20190323LGHT02019
24,김윤동,0 ⅓,0,0,0,0,0,0,1,1,6,1.0,0.0,0.0,0.0,0.0,2019,03,23,KIA,LG,홈,20190323LGHT02019
25,윌슨,7,3,0,0,3,4,0,26,22,93,1.0,1.0,0.0,0.0,0.0,2019,03,23,KIA,LG,원정,20190323LGHT02019
26,신정락,1,0,0,0,1,1,0,4,3,17,1.0,0.0,0.0,0.0,0.0,2019,03,23,KIA,LG,원정,20190323LGHT02019
27,정찬헌,1,0,0,0,0,1,0,3,3,9,1.0,0.0,0.0,1.0,0.0,2019,03,23,KIA,LG,원정,20190323LGHT02019
28,버틀러,7 ⅓,3,0,0,2,3,0,25,23,96,1.0,1.0,0.0,0.0,0.0,2019,03,23,NC,삼성,홈,20190323SSNC02019
29,김진성,0 ⅔,0,0,0,0,0,0,2,2,9,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,홈,20190323SSNC02019
30,윤지웅,0 ⅓,1,0,0,0,1,0,2,2,9,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,홈,20190323SSNC02019
31,배재환,0 ⅔,0,0,0,0,1,0,2,2,9,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,홈,20190323SSNC02019
32,맥과이어,3 ⅔,8,7,7,5,3,3,23,18,86,1.0,0.0,1.0,0.0,17.18,2019,03,23,NC,삼성,원정,20190323SSNC02019
33,최지광,1 ⅓,0,0,0,0,1,0,4,4,17,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,원정,20190323SSNC02019
34,홍정우,1,0,0,0,0,1,0,3,3,14,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,원정,20190323SSNC02019
35,이승현,1,0,0,0,0,1,0,3,3,12,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,원정,20190323SSNC02019
36,장필준,0 ⅔,0,0,0,0,1,0,2,2,9,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,원정,20190323SSNC02019
37,임현준,0 ⅓,0,0,0,0,0,0,1,1,6,1.0,0.0,0.0,0.0,0.0,2019,03,23,NC,삼성,원정,20190323SSNC02019
38,레일리,4,6,5,5,2,4,2,21,19,81,1.0,0.0,1.0,0.0,11.25,2019,03,23,롯데,키움,홈,20190323WOLT02019
39,정성종,1,3,0,0,0,1,0,6,6,17,1.0,0.0,0.0,0.0,0.0,2019,03,23,롯데,키움,홈,20190323WOLT02019
